id,title,speaker,topics,transcript
27,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," It's not a new database that you need We have wonderful design tools and more and more are added up here So we started a nonprofit venture linking data to design, we called ""Gapminder,"" from the London Underground, where they warn you, ""Mind the gap"" So we thought Gapminder was appropriate And we started to write software which could link the data like this And it wasn't that difficult It took some person years, and we have produced animations"
28,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," We are liberating UN data, some few UN organization Some countries accept that their databases can go out on the world But what we really need is, of course, a search function, a search function where we can copy the data up to a searchable format and get it out in the world And what do we hear when we go around? I've done anthropology on the main statistical units Everyone says, ""It's impossible This can't be done"
29,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," We cannot give the data free to the students, free to the entrepreneurs of the world"" But this is what we would like to see, isn't it? The publicly funded data is down here And we would like flowers to grow out on the net One of the crucial points is to make them searchable, and then people can use the different design tools to animate it there And I have pretty good news for you"
30,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," He only says, ""We can't do it"" (Laughter) And that's a quite clever guy, huh? (Laughter) So we can see a lot happening in data in the coming years We will be able to look at income distributions in completely new ways This is the income distribution of China, 1970 This is the income distribution of the United States, 1970 Almost no overlap Almost no overlap"
31,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," (Laughter) But I think it's very important to have all this information We need really to see it And instead of looking at this, I would like to end up by showing the internet users per 1,000 In this software, we access about 500 variables from all the countries quite easily It takes some time to change for this, but on the axes, you can quite easily get any variable you would like to have"
32,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," Now, statisticians don't like it, because they say that this will not show the reality; we have to have statistical, analytical methods But this is hypothesis-generating I end now with the world There, the internet is coming The number of internet users are going up like this This is the GDP per capita And it's a new technology coming in, but then amazingly, how well it fits to the economy of the countries"
33,Do schools kill creativity?,Sir Ken Robinson,['culture'],"Good morning How are you? (Audience) Good It's been great, hasn't it? I've been blown away by the whole thing In fact, I'm leaving (Laughter) There have been three themes running through the conference, which are relevant to what I want to talk about One is the extraordinary evidence of human creativity in all of the presentations that we've had and in all of the people here; just the variety of it and the range of it"
34,Do schools kill creativity?,Sir Ken Robinson,['culture']," No idea how this may play out I have an interest in education Actually, what I find is, everybody has an interest in education Don't you? I find this very interesting If you're at a dinner party, and you say you work in education — actually, you're not often at dinner parties, frankly (Laughter) If you work in education, you're not asked (Laughter) And you're never asked back, curiously That's strange to me"
35,Do schools kill creativity?,Sir Ken Robinson,['culture']," They're like, ""Oh my God Why me?"" (Laughter) ""My one night out all week"" (Laughter) But if you ask about their education, they pin you to the wall, because it's one of those things that goes deep with people, am I right? Like religion and money and other things So I have a big interest in education, and I think we all do"
36,Do schools kill creativity?,Sir Ken Robinson,['culture']," If you think of it, children starting school this year will be retiring in 2065 Nobody has a clue, despite all the expertise that's been on parade for the past four days, what the world will look like in five years' time And yet, we're meant to be educating them for it So the unpredictability, I think, is extraordinary"
37,Do schools kill creativity?,Sir Ken Robinson,['culture']," I mean, Sirena last night was a marvel, wasn't she? Just seeing what she could do And she's exceptional, but I think she's not, so to speak, exceptional in the whole of childhood What you have there is a person of extraordinary dedication who found a talent And my contention is, all kids have tremendous talents, and we squander them, pretty ruthlessly So I want to talk about education, and I want to talk about creativity"
38,Do schools kill creativity?,Sir Ken Robinson,['culture']," (Applause) Thank you (Applause) That was it, by the way Thank you very much (Laughter) So, 15 minutes left (Laughter) ""Well, I was born  "" (Laughter) I heard a great story recently — I love telling it — of a little girl who was in a drawing lesson She was six, and she was at the back, drawing, and the teacher said this girl hardly ever paid attention, and in this drawing lesson, she did The teacher was fascinated"
39,Do schools kill creativity?,Sir Ken Robinson,['culture'],""" And the teacher said, ""But nobody knows what God looks like"" And the girl said, ""They will in a minute"" (Laughter) When my son was four in England — actually, he was four everywhere, to be honest (Laughter) If we're being strict about it, wherever he went, he was four that year He was in the Nativity play Do you remember the story? (Laughter) No, it was big, it was a big story Mel Gibson did the sequel, you may have seen it"
40,Do schools kill creativity?,Sir Ken Robinson,['culture'],""" But James got the part of Joseph, which we were thrilled about We considered this to be one of the lead parts We had the place crammed full of agents in T-shirts: ""James Robinson IS Joseph!"" (Laughter) He didn't have to speak, but you know the bit where the three kings come in? They come in bearing gifts, gold, frankincense and myrrh This really happened"
41,Do schools kill creativity?,Sir Ken Robinson,['culture']," The three boys came in, four-year-olds with tea towels on their heads They put these boxes down, and the first boy said, ""I bring you gold"" And the second boy said, ""I bring you myrrh"" And the third boy said, ""Frank sent this"" (Laughter) What these things have in common is that kids will take a chance If they don't know, they'll have a go Am I right? They're not frightened of being wrong"
42,Do schools kill creativity?,Sir Ken Robinson,['culture']," What we do know is, if you're not prepared to be wrong, you'll never come up with anything original — if you're not prepared to be wrong And by the time they get to be adults, most kids have lost that capacity They have become frightened of being wrong And we run our companies like this We stigmatize mistakes And we're now running national education systems where mistakes are the worst thing you can make"
43,Do schools kill creativity?,Sir Ken Robinson,['culture']," Picasso once said this, he said that all children are born artists The problem is to remain an artist as we grow up I believe this passionately, that we don't grow into creativity, we grow out of it Or rather, we get educated out of it So why is this? I lived in Stratford-on-Avon until about five years ago In fact, we moved from Stratford to Los Angeles So you can imagine what a seamless transition this was"
44,Do schools kill creativity?,Sir Ken Robinson,['culture']," Are you struck by a new thought? I was You don't think of Shakespeare having a father, do you? Do you? Because you don't think of Shakespeare being a child, do you? Shakespeare being seven? I never thought of it I mean, he was seven at some point He was in somebody's English class, wasn't he? (Laughter) How annoying would that be? (Laughter) ""Must try harder"
45,Do schools kill creativity?,Sir Ken Robinson,['culture']," ""And put the pencil down!"" (Laughter) ""And stop speaking like that"" (Laughter) ""It's confusing everybody"" (Laughter) Anyway, we moved from Stratford to Los Angeles, and I just want to say a word about the transition Actually, my son didn't want to come I've got two kids; he's 21 now, my daughter's 16 He didn't want to come to Los Angeles He loved it, but he had a girlfriend in England This was the love of his life, Sarah"
46,Do schools kill creativity?,Sir Ken Robinson,['culture']," (Laughter) Mind you, they'd had their fourth anniversary, because it's a long time when you're 16 He was really upset on the plane He said, ""I'll never find another girl like Sarah"" And we were rather pleased about that, frankly — (Laughter) because she was the main reason we were leaving the country"
47,Do schools kill creativity?,Sir Ken Robinson,['culture']," Every one Doesn't matter where you go You'd think it would be otherwise, but it isn't At the top are mathematics and languages, then the humanities At the bottom are the arts Everywhere on earth And in pretty much every system, too, there's a hierarchy within the arts Art and music are normally given a higher status in schools than drama and dance"
48,Do schools kill creativity?,Sir Ken Robinson,['culture']," Why? Why not? I think this is rather important I think math is very important, but so is dance Children dance all the time if they're allowed to, we all do We all have bodies, don't we? Did I miss a meeting? (Laughter) Truthfully, what happens is, as children grow up, we start to educate them progressively from the waist up And then we focus on their heads And slightly to one side"
49,Do schools kill creativity?,Sir Ken Robinson,['culture']," Isn't it? They're the people who come out the top And I used to be one, so there (Laughter) And I like university professors, but, you know, we shouldn't hold them up as the high-water mark of all human achievement They're just a form of life Another form of life But they're rather curious And I say this out of affection for them: there's something curious about professors"
50,Do schools kill creativity?,Sir Ken Robinson,['culture']," They live up there and slightly to one side They're disembodied, you know, in a kind of literal way They look upon their body as a form of transport for their heads (Laughter) Don't they? It's a way of getting their head to meetings (Laughter) If you want real evidence of out-of-body experiences, by the way, get yourself along to a residential conference of senior academics and pop into the discotheque on the final night"
51,Do schools kill creativity?,Sir Ken Robinson,['culture']," Grown men and women writhing uncontrollably, off the beat (Laughter) Waiting until it ends, so they can go home and write a paper about it (Laughter) Our education system is predicated on the idea of academic ability And there's a reason Around the world, there were no public systems of education, really, before the 19th century They all came into being to meet the needs of industrialism So the hierarchy is rooted on two ideas"
52,Do schools kill creativity?,Sir Ken Robinson,['culture']," So you were probably steered benignly away from things at school when you were a kid, things you liked, on the grounds you would never get a job doing that Is that right? ""Don't do music, you're not going to be a musician; don't do art, you won't be an artist"" Benign advice — now, profoundly mistaken The whole world is engulfed in a revolution"
53,Do schools kill creativity?,Sir Ken Robinson,['culture']," If you think of it, the whole system of public education around the world is a protracted process of university entrance And the consequence is that many highly talented, brilliant, creative people think they're not, because the thing they were good at at school wasn't valued, or was actually stigmatized And I think we can't afford to go on that way"
54,Do schools kill creativity?,Sir Ken Robinson,['culture']," More people And it's the combination of all the things we've talked about: technology and its transformational effect on work, and demography and the huge explosion in population Suddenly, degrees aren't worth anything Isn't that true? When I was a student, if you had a degree, you had a job If you didn't have a job, it's because you didn't want one And I didn't want one, frankly"
55,Do schools kill creativity?,Sir Ken Robinson,['culture']," It's a process of academic inflation And it indicates the whole structure of education is shifting beneath our feet We need to radically rethink our view of intelligence We know three things about intelligence One, it's diverse We think about the world in all the ways that we experience it We think visually, we think in sound, we think kinesthetically We think in abstract terms, we think in movement Secondly, intelligence is dynamic"
56,Do schools kill creativity?,Sir Ken Robinson,['culture']," The brain isn't divided into compartments In fact, creativity — which I define as the process of having original ideas that have value — more often than not comes about through the interaction of different disciplinary ways of seeing things By the way, there's a shaft of nerves that joins the two halves of the brain, called the corpus callosum It's thicker in women"
57,Do schools kill creativity?,Sir Ken Robinson,['culture']," Because you are, aren't you? There's a raft of research, but I know it from my personal life If my wife is cooking a meal at home, which is not often  thankfully (Laughter) No, she's good at some things But if she's cooking, she's dealing with people on the phone, she's talking to the kids, she's painting the ceiling — (Laughter) she's doing open-heart surgery over here"
58,Do schools kill creativity?,Sir Ken Robinson,['culture']," I say, ""Terry, please, I'm trying to fry an egg in here"" (Laughter) ""Give me a break"" (Laughter) Actually, do you know that old philosophical thing, ""If a tree falls in a forest, and nobody hears it, did it happen?"" Remember that old chestnut? I saw a great T-shirt recently, which said, ""If a man speaks his mind in a forest, and no woman hears him, is he still wrong?"" (Laughter) And the third thing about intelligence is, it's distinct"
59,Do schools kill creativity?,Sir Ken Robinson,['culture']," I'm fascinated by how people got to be there It's really prompted by a conversation I had with a wonderful woman who maybe most people have never heard of, Gillian Lynne Have you heard of her? Some have She's a choreographer, and everybody knows her work She did ""Cats"" and ""Phantom of the Opera"" She's wonderful I used to be on the board of The Royal Ballet, as you can see (Laughter) Gillian and I had lunch one day"
60,Do schools kill creativity?,Sir Ken Robinson,['culture']," When she was at school, she was really hopeless And the school, in the '30s, wrote to her parents and said, ""We think Gillian has a learning disorder"" She couldn't concentrate; she was fidgeting I think now they'd say she had ADHD Wouldn't you? But this was the 1930s, and ADHD hadn't been invented at this point It wasn't an available condition (Laughter) People weren't aware they could have that"
61,Do schools kill creativity?,Sir Ken Robinson,['culture']," So, this oak-paneled room, and she was there with her mother, and she was led and sat on this chair at the end, and she sat on her hands for 20 minutes, while this man talked to her mother about all the problems Gillian was having at school, because she was disturbing people, her homework was always late, and so on Little kid of eight"
62,Do schools kill creativity?,Sir Ken Robinson,['culture']," I need to speak to her privately Wait here We'll be back We won't be very long,"" and they went and left her But as they went out of the room, he turned on the radio that was sitting on his desk And when they got out of the room, he said to her mother, ""Just stand and watch her"" And the minute they left the room, she was on her feet, moving to the music And they watched for a few minutes, and he turned to her mother and said, ""Mrs"
63,Do schools kill creativity?,Sir Ken Robinson,['culture']," She's a dancer Take her to a dance school"" I said, ""What happened?"" She said, ""She did I can't tell you how wonderful it was We walked in this room, and it was full of people like me — people who couldn't sit still, people who had to move to think"" Who had to move to think They did ballet, they did tap, jazz; they did modern; they did contemporary She was eventually auditioned for the Royal Ballet School"
64,Do schools kill creativity?,Sir Ken Robinson,['culture']," She eventually graduated from the Royal Ballet School, founded the Gillian Lynne Dance Company, met Andrew Lloyd Webber She's been responsible for some of the most successful musical theater productions in history, she's given pleasure to millions, and she's a multimillionaire Somebody else might have put her on medication and told her to calm down"
65,Do schools kill creativity?,Sir Ken Robinson,['culture']," I believe our only hope for the future is to adopt a new conception of human ecology, one in which we start to reconstitute our conception of the richness of human capacity Our education system has mined our minds in the way that we strip-mine the earth for a particular commodity And for the future, it won't serve us We have to rethink the fundamental principles on which we're educating our children"
66,Do schools kill creativity?,Sir Ken Robinson,['culture']," If all human beings disappeared from the Earth, within 50 years, all forms of life would flourish"" And he's right What TED celebrates is the gift of the human imagination We have to be careful now that we use this gift wisely, and that we avert some of the scenarios that we've talked about And the only way we'll do it is by seeing our creative capacities for the richness they are and seeing our children for the hope that they are"
67,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']","I'd like to talk today about the two biggest social trends in the coming century, and perhaps in the next 10,000 years But I want to start with my work on romantic love, because that's my most recent work What I and my colleagues did was put 32 people, who were madly in love, into a functional MRI brain scanner 17 who were madly in love and their love was accepted; and 15 who were madly in love and they had just been dumped"
68,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," (Laughter) ""What 'tis to love?"" Shakespeare said I think our ancestors — I think human beings have been wondering about this question since they sat around their campfires or lay and watched the stars a million years ago I started out by trying to figure out what romantic love was by looking at the last 45 years of the psychological research and as it turns out, there's a very specific group of things that happen when you fall in love"
69,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']",""" As a truck driver once said to me, ""The world had a new center, and that center was Mary Anne"" George Bernard Shaw said it differently ""Love consists of overestimating the differences between one woman and another"" And indeed, that's what we do (Laughter) And then you just focus on this person You can list what you don't like about them, but then you sweep that aside and focus on what you do As Chaucer said, ""Love is blind"
70,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," It's a little bit like when you are madly in love with somebody and you walk into a parking lot — their car is different from every other car in the parking lot Their wine glass at dinner is different from every other wine glass at the dinner party And in this case, a man got hooked on a bamboo sleeping mat And it goes like this It's by a guy called Yuan Zhen ""I cannot bear to put away the bamboo sleeping mat"
71,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']",""" He became hooked on a sleeping mat, probably because of elevated activity of dopamine in his brain, just like with you and me But anyway, not only does this person take on special meaning, you focus your attention on them You aggrandize them But you have intense energy As one Polynesian said, ""I felt like jumping in the sky"" You're up all night You're walking till dawn"
72,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," Real dependence on this person As one businessman in New York said to me, ""Anything she liked, I liked"" Simple Romantic love is very simple You become extremely sexually possessive You know, if you're just sleeping with somebody casually, you don't really care if they're sleeping with somebody else But the moment you fall in love, you become extremely sexually possessive of them I think there's a Darwinian purpose to this"
73,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," But the main characteristics of romantic love are craving: an intense craving to be with a particular person, not just sexually, but emotionally It would be nice to go to bed with them, but you want them to call you on the telephone, to invite you out, etc, to tell you that they love you The other main characteristic is motivation The motor in the brain begins to crank, and you want this person And last but not least, it is an obsession"
74,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," But my most important question was always the same It was: ""What percentage of the day and night do you think about this person?"" And indeed, they would say, ""All day All night I can never stop thinking about him or her"" And then, the very last question — I would always have to work myself up to this question, because I'm not a psychologist I don't work with people in any kind of traumatic situation My final question was always the same"
75,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," I was just staggered by it So we scanned their brains, looking at a photograph of their sweetheart and looking at a neutral photograph, with a distraction task in between So we could look at the same brain when it was in that heightened state and when it was in a resting state And we found activity in a lot of brain regions In fact, one of the most important was a brain region that becomes active when you feel the rush of cocaine"
76,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," I began to realize that romantic love is not an emotion In fact, I had always thought it was a series of emotions, from very high to very low But actually, it's a drive It comes from the motor of the mind, the wanting part of the mind, the craving part of the mind The kind of part of the mind when you're reaching for that piece of chocolate, when you want to win that promotion at work The motor of the brain It's a drive"
77,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," You know, if you ask somebody to go to bed with you, and they say, ""No, thank you,"" you certainly don't kill yourself or slip into a clinical depression But certainly, around the world, people who are rejected in love will kill for it People live for love They kill for love They die for love They have songs, poems, novels, sculptures, paintings, myths, legends In over 175 societies, people have left their evidence of this powerful brain system"
78,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," And I've also come to think that it's one of three basically different brain systems that evolved from mating and reproduction One is the sex drive: the craving for sexual gratification WH Auden called it an ""intolerable neural itch,"" and indeed, that's what it is It keeps bothering you a little bit, like being hungry The second of these three brain systems is romantic love: that elation, obsession of early love"
79,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," And I think that the sex drive evolved to get you out there, looking for a whole range of partners You can feel it when you're just driving along in your car It can be focused on nobody I think romantic love evolved to enable you to focus your mating energy on just one individual at a time, thereby conserving mating time and energy"
80,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," So with that preamble, I want to go into discussing the two most profound social trends One of the last 10,000 years and the other, certainly of the last 25 years, that are going to have an impact on these three different brain systems: lust, romantic love and deep attachment to a partner The first is women working, moving into the workforce I've looked at 130 societies through the demographic yearbooks of the United Nations"
81,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," It's very slow For every trend on this planet, there's a counter-trend We all know of them, but nevertheless — the Arabs say, ""The dogs may bark, but the caravan moves on"" And, indeed, that caravan is moving on Women are moving back into the job market And I say back into the job market, because this is not new For millions of years, on the grasslands of Africa, women commuted to work to gather their vegetables"
82,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," The double income family was the standard And women were regarded as just as economically, socially and sexually powerful as men In short, we're really moving forward to the past Then, women's worst invention was the plow With the beginning of plow agriculture, men's roles became extremely powerful"
83,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," In short, they are acquiring the status that they had a million years ago, 10,000 years ago, 100,000 years ago We are seeing now one of the most remarkable traditions in the history of the human animal And it's going to have an impact I generally give a whole lecture on the impact of women on the business community I'll say just a couple of things, and then go on to sex and love"
84,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," I don't know why they want to think that men and women are alike There's much we have in common, but there's a whole lot that we do not have in common We are — in the words of Ted Hughes, ""I think that we are like two feet We need each other to get ahead"" But we did not evolve to have the same brain And we're finding more and more gender differences in the brain I'll only just use a couple and then move on to sex and love"
85,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," Women can talk Women's ability to find the right word rapidly, basic articulation goes up in the middle of the menstrual cycle, when estrogen levels peak But even at menstruation, they're better than the average man Women can talk They've been doing it for a million years; words were women's tools They held that baby in front of their face, cajoling it, reprimanding it, educating it with words And, indeed, they're becoming a very powerful force"
86,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," And I think that the television is like the global campfire We sit around it and it shapes our minds Almost always, when I'm on TV, the producer who calls me, who negotiates what we're going to say, is a woman In fact, Solzhenitsyn once said, ""To have a great writer is to have another government"" Today 54 percent of people who are writers in America are women"
87,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," They've got incredible people skills, negotiating skills They're highly imaginative We now know the brain circuitry of imagination, of long-term planning They tend to be web thinkers Because the female parts of the brain are better connected, they tend to collect more pieces of data when they think, put them into more complex patterns, see more options and outcomes They tend to be contextual, holistic thinkers, what I call web thinkers"
88,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," They're both perfectly good ways of thinking We need both of them to get ahead In fact, there's many more male geniuses in the world And there's also many more male idiots in the world (Laughter) When the male brain works well, it works extremely well And what I really think that we're doing is, we're moving towards a collaborative society, a society in which the talents of both men and women are becoming understood and valued and employed"
89,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," Foremost, women are starting to express their sexuality I'm always astonished when people come to me and say, ""Why is it that men are so adulterous?"" ""Why do you think more men are adulterous than women?"" ""Well, men are more adulterous!"" And I say, ""Who do you think these men are sleeping with?"" (Laughter) And — basic math! Anyway"
90,"Why we love, why we cheat",Helen Fisher,"['culture', 'science']"," We are seeing the rise of female sexual expression And, indeed, once again we're moving forward to the kind of sexual expression that we probably saw on the grasslands of Africa a million years ago, because this is the kind of sexual expression that we see in hunting and gathering societies today We're also returning to an ancient form of marriage equality"
